Time,S_S,X_S,X_BH,X_BA,X_P,S_O,S_NO,S_NH,S_ND,X_ND,S_ALK,S_N2
day,mg COD/l,mg COD/l,mg COD/l,mg COD/l,mg COD/l,mg O2/l,mg N/l,mg N/l,mg N/l,mg N/l,eq ALK/l,mg N/l
0.043794,5.842874,173.0407,2620.472498,148.628727,454.683843,0.377586,1.68065,11.039371,0.856884,7.781224,0.006017,4.955907
0.044044,5.817206,172.436446,2620.730451,148.633509,454.725716,0.379381,1.70989,11.001595,0.858591,7.770748,0.006016,4.995694
0.044294,5.822809,171.974745,2620.944936,148.640111,454.772616,0.379693,1.725789,10.945538,0.859716,7.752452,0.006009,5.032215
0.044545,5.845497,171.513823,2621.17435,148.647111,454.780308,0.379942,1.748354,10.902366,0.861405,7.741198,0.006005,5.061282
0.044795,5.830337,170.746719,2621.411512,148.652352,454.782561,0.380887,1.774925,10.853929,0.863182,7.72598,0.006,5.088977
0.045045,5.856598,170.275744,2621.710457,148.656392,454.814383,0.373101,1.799953,10.799121,0.864989,7.711173,0.005998,5.136163
0.045295,5.850323,169.767385,2622.080665,148.66081,454.844401,0.37831,1.820591,10.739025,0.866533,7.697267,0.00599,5.171704
0.045546,5.805348,168.93178,2622.373815,148.666587,454.842673,0.383675,1.84611,10.697631,0.868459,7.688379,0.005987,5.216223
0.045796,5.749579,168.285238,2622.564806,148.670719,454.874242,0.387593,1.87256,10.617292,0.870116,7.674746,0.00598,5.252856
0.046046,5.744975,167.596447,2622.767477,148.676131,454.910382,0.392266,1.890758,10.569673,0.871937,7.669249,0.005976,5.291
0.046296,5.7337,167.086721,2623.076933,148.682377,454.919695,0.391791,1.906483,10.532414,0.87472,7.657314,0.005969,5.310859
0.046547,5.72321,166.317571,2623.26908,148.687769,454.944853,0.395386,1.938911,10.463437,0.875899,7.641027,0.005963,5.337489
0.046797,5.722893,165.896543,2623.561528,148.693944,455.032834,0.402421,1.952462,10.395656,0.877665,7.630642,0.005958,5.373845
0.047047,5.720585,165.284927,2623.884963,148.698595,455.03196,0.398224,1.97992,10.331059,0.878997,7.618027,0.005954,5.409338
0.047297,5.730272,164.659217,2624.172645,148.704391,455.064159,0.394782,1.988699,10.26598,0.879993,7.602189,0.005948,5.446093
0.047548,5.718934,163.829994,2624.488935,148.711388,455.105449,0.398385,2.003419,10.207222,0.881653,7.585142,0.005939,5.484886
0.047798,5.737448,162.940467,2624.758503,148.716936,455.152679,0.401997,2.01494,10.148823,0.882994,7.566639,0.005933,5.517053
