Time,dS_S,dX_S,dX_BH,dX_BA,dX_P,dS_O,dS_NO,dS_NH,dS_ND,dX_ND,dS_ALK,dS_N2
day,mg COD/l/d,mg COD/l/d,mg COD/l/d,mg COD/l/d,mg COD/l/d,mg O2/l/d,mg N/l/d,mg N/l/d,mg N/l/d,mg N/l/d,eq ALK/l/d,mg N/l/d
0.034034,-39.418887,-2664.257823,1204.866983,22.794038,131.14832,2.61105,57.647822,-271.219564,9.382262,-39.334701,-0.023491,130.076434
0.034284,-39.0285,-2664.170463,1204.475721,22.816903,131.163342,2.602839,57.580125,-270.797478,9.251791,-39.694373,-0.023456,130.242969
0.034535,-38.663084,-2664.00728,1204.050413,22.839414,131.178358,2.59594,57.518766,-270.37756,9.125372,-40.0515,-0.023421,130.401696
0.034785,-38.320804,-2663.770482,1203.59131,22.861592,131.193369,2.59027,57.463662,-269.959712,9.002873,-40.406155,-0.023387,130.552781
0.035035,-37.999991,-2663.462149,1203.098691,22.883455,131.208374,2.585749,57.414728,-269.543838,8.884164,-40.75841,-0.023354,130.696388
0.035285,-37.69913,-2663.084241,1202.572856,22.90502,131.223373,2.582309,57.371877,-269.129843,8.76912,-41.108328,-0.023322,130.832674
0.035536,-37.416841,-2662.638611,1202.014123,22.926304,131.238365,2.579886,57.335023,-268.717638,8.657615,-41.455973,-0.023289,130.961793
0.035786,-37.151865,-2662.127006,1201.422821,22.94732,131.253351,2.578422,57.304076,-268.307132,8.549528,-41.8014,-0.023258,131.083895
0.036036,-36.903053,-2661.551079,1200.79929,22.968082,131.268328,2.577863,57.278948,-267.898241,8.44474,-42.144666,-0.023227,131.199125
0.036286,-36.669356,-2660.912394,1200.143876,22.988604,131.283298,2.578164,57.259552,-267.49088,8.343134,-42.48582,-0.023196,131.307623
0.036537,-36.449813,-2660.212432,1199.45693,23.008897,131.29826,2.579279,57.2458,-267.084969,8.244597,-42.82491,-0.023166,131.409526
0.036787,-36.243542,-2659.452597,1198.738805,23.028972,131.313212,2.58117,57.237605,-266.68043,8.149019,-43.161983,-0.023137,131.504967
0.037037,-36.049736,-2658.634221,1197.989852,23.04884,131.328156,2.583801,57.234883,-266.277185,8.056292,-43.49708,-0.023108,131.594073
0.037287,-35.867651,-2657.758569,1197.210423,23.068509,131.343091,2.587138,57.23755,-265.875161,7.966312,-43.830242,-0.023079,131.676968
0.037538,-35.696602,-2656.826841,1196.400866,23.087989,131.358015,2.591152,57.245522,-265.474288,7.878978,-44.161507,-0.023051,131.753771
0.037788,-35.53596,-2655.84018,1195.561525,23.107288,131.37293,2.595815,57.25872,-265.074495,7.794192,-44.490909,-0.023024,131.824599
0.038038,-35.385141,-2654.799671,1194.692739,23.126414,131.387833,2.601103,57.277064,-264.675717,7.711857,-44.818484,-0.022997,131.889563
0.038288,-35.243607,-2653.706349,1193.794842,23.145374,131.402726,2.606992,57.300476,-264.277889,7.631882,-45.144262,-0.02297,131.94877
0.038539,-35.11086,-2652.561199,1192.868163,23.164176,131.417608,2.613463,57.328882,-263.880948,7.554178,-45.468274,-0.022944,132.002325
0.038789,-34.986437,-2651.365159,1191.913021,23.182824,131.432478,2.620496,57.362206,-263.484836,7.478657,-45.790548,-0.022918,132.050329
0.039039,-34.869909,-2650.119125,1190.92973,23.201327,131.447336,2.628073,57.400379,-263.089493,7.405236,-46.11111,-0.022892,132.092877
0.039289,-34.760876,-2648.82395,1189.918597,23.219689,131.462182,2.636179,57.443329,-262.694865,7.333833,-46.429986,-0.022867,132.130065
0.03954,-34.658968,-2647.480452,1188.879921,23.237915,131.477015,2.6448,57.490988,-262.300896,7.264371,-46.747199,-0.022842,132.161981
0.03979,-34.563836,-2646.089407,1187.813993,23.256011,131.491835,2.653922,57.54329,-261.907536,7.196774,-47.062772,-0.022818,132.188714
0.04004,-34.475157,-2644.65156,1186.721096,23.27398,131.506642,2.663534,57.600172,-261.514734,7.130968,-47.376726,-0.022794,132.210346
0.04029,-34.392629,-2643.167623,1185.601506,23.291829,131.521435,2.673624,57.661569,-261.122441,7.066882,-47.689081,-0.02277,132.226958
0.040541,-34.315968,-2641.638277,1184.45549,23.30956,131.536214,2.684183,57.727422,-260.730613,7.00445,-47.999856,-0.022747,132.23863
